"column_1","value_1","column_2","value_2","primary_id","primary_label","eco_id","eco_label","feature","extension_relation","extension_range"
"mutant_phenotype","chemistry target: sensitivity to chemical",,,"?","?",,,"pathogen_genotype",,
"mutant_phenotype","reduced virulence",,,"N/A",,,,"metagenotype","infective_ability","PHIPO:0000015"
"mutant_phenotype","increased virulence (hypervirulence)",,,"N/A",,,,"metagenotype","infective_ability","PHIPO:0000014"
"mutant_phenotype","loss of pathogenicity",,,"N/A",,,,"metagenotype","infective_ability","PHIPO:0000010"
"mutant_phenotype","unaffected pathogenicity",,,"N/A",,,,"metagenotype","infective_ability","PHIPO:0000004"
"penetration_defect","yes",,,"PHIPO:0000355","pathogen penetration into host absent",,,"metagenotype",,
"penetration_defect","no",,,"PHIPO:0000331","pathogen penetration into host present",,,"metagenotype",,
"penetration_defect","yes (defective)",,,"?",,,,,,
"penetration_defect","yes (does not go through stomata)",,,"?",,,,,,
"penetration_defect","yes (increased)",,,"?",,,,,,
"penetration_defect","yes (reduced)",,,"?",,,,,,
"postpenetration_defect","no",,,"PHIPO:0000954","presence of pathogen growth within host",,,"metagenotype",,
"postpenetration_defect","yes (reduced)",,,"PHIPO:0000365","decreased pathogen growth within host",,,"metagenotype",,
"postpenetration_defect","yes",,,"PHIPO:0000363","absence of pathogen growth within host",,,"metagenotype",,
"postpenetration_defect","no (delayed by 5 days)",,,"?",,,,,,
"postpenetration_defect","reduced",,,"?",,,,,,
"postpenetration_defect","yes (data not shown)",,,"?",,,,,,
"postpenetration_defect","yes/no (conflicting statement in paper)",,,"N/A",,,,,,
"prepenetration_defect","yes (aberrant appressorium development)",,,"PHIPO:0000032","abnormal formation of pathogen penetration structure",,,"pathogen_genotype",,
"prepenetration_defect","yes",,,"PHIPO:0000030","pathogen penetration across the barrier absent",,,"pathogen_genotype",,
"prepenetration_defect","no",,,"PHIPO:0000024","pathogen penetration across the barrier present",,,"pathogen_genotype",,
"prepenetration_defect","no data found (as no conidiation)",,,"?",,,,,,
"prepenetration_defect","(as no conidiation)",,,"?",,,,,,
"prepenetration_defect","wild type",,,"?",,,,,,
"prepenetration_defect","yes (only yeast-like growth, no filament formation)",,,"?",,,,,,
"prepenetration_defect","yes (reduced; aberrant)",,,"?",,,,,,
"sexual_spores","wild type",,,"PHIPO:0000057","normal number of sexual spores",,,"pathogen_genotype",,
"sexual_spores","reduced",,,"PHIPO:0000050","decreased number of sexual spores",,,"pathogen_genotype",,
"sexual_spores","increased",,,"PHIPO:0000049","increased number of sexual spores",,,"pathogen_genotype",,
"sexual_spores","aberrant",,,"PHIPO:0000048","abnormal sexual reproduction",,,"pathogen_genotype",,
"sexual_spores","defective",,,"PHIPO:0000048","abnormal sexual reproduction",,,"pathogen_genotype",,
"sexual_spores","decreased",,,"PHIPO:0000050","decreased number of sexual spores",,,"pathogen_genotype",,
"sexual_spores","defective sclerotia formation",,,"?","abnormal sclerotium formation",,,"pathogen_genotype",,
"sexual_spores","essential for female fertility and heterokaryon formation",,,"N/A",,,,"pathogen_genotype",,
"sexual_spores","female sterile",,,"?",,,,"pathogen_genotype",,
"sexual_spores","increased; aberrant",,,"PHIPO:0000049","increased number of sexual spores",,,"pathogen_genotype",,
"sexual_spores","mating defective",,,"?",,,,"pathogen_genotype",,
"sexual_spores","no forcible discharge",,,"?",,,,"pathogen_genotype",,
"sexual_spores","no mature asci",,,"?",,,,"pathogen_genotype",,
"sexual_spores","no perithecia formation",,,"?","absence of perithecium formation",,,"pathogen_genotype",,
"sexual_spores","none",,,"PHIPO:0000062","sexual spores absent",,,"pathogen_genotype",,
"sexual_spores","perithecial initials only",,,"?",,,,"pathogen_genotype",,
"sexual_spores","reduced on complex media, none on minimal media",,,"PHIPO:0000050","decreased number of sexual spores","PECO:0005224","rich medium","pathogen_genotype",,
"sexual_spores","reduced on complex media, none on minimal media",,,"PHIPO:0000062","sexual spores absent","PECO:0005020","minimal medium","pathogen_genotype",,
"sexual_spores","reduced; aberrant",,,"PHIPO:0000050","decreased number of sexual spores",,,"pathogen_genotype",,
"sexual_spores","sterile",,,"?",,,,"pathogen_genotype",,
"sexual_spores","unable to form mature teliospores",,,"?","abnormal teliospore formation",,,"pathogen_genotype",,
"spore_germination","aberrant",,,"PHIPO:0001018","abnormal asexual spore germination",,,"pathogen_genotype",,
"spore_germination","defective",,,"PHIPO:0001018","abnormal asexual spore germination",,,"pathogen_genotype",,
"spore_germination","wild type",,,"PHIPO:0000956","normal asexual spore germination frequency",,,"pathogen_genotype",,
"spore_germination","reduced",,,"PHIPO:0000410","decreased asexual spore germination frequency",,,"pathogen_genotype",,
"spore_germination","increased",,,"PHIPO:0000274","increased asexual spore germination frequency",,,"pathogen_genotype",,
"spore_germination","aberrant (overelongated germ tube)",,,"PHIPO:0001017","long germ tube",,,"pathogen_genotype",,
"spore_germination","aberrant (slow germination rate)",,,"?",,,,"pathogen_genotype",,
"spore_germination","blocked on plant host surface",,,"?",,,,,,
"spore_germination","conidia do not germinate",,,"?",,,,,,
"spore_germination","delayed",,,"?",,,,,,
"spore_germination","no",,,"?",,,,,,
"spore_germination","reduced; aberrant",,,"?",,,,,,
"spore_germination","reduced; defective",,,"?",,,,,,
"spore_germination","unable to germinate conidia",,,"?",,,,,,
"spore_germination","wild type; aberrant",,,"?",,,,,,
"vegetative_spores","reduced (absent)",,,"PHIPO:0000061","asexual spores absent",,,"pathogen_genotype",,
"vegetative_spores","wild type",,,"PHIPO:0000059","normal number of asexual spores",,,"pathogen_genotype",,
"vegetative_spores","reduced",,,"PHIPO:0000052","decreased number of asexual spores",,,"pathogen_genotype",,
"vegetative_spores","increased",,,"PHIPO:0000051","increased number of asexual spores",,,"pathogen_genotype",,
"vegetative_spores","aberrant",,,"PHIPO:0000047","abnormal asexual reproduction",,,"pathogen_genotype",,
"vegetative_spores","defective",,,"PHIPO:0000047","abnormal asexual reproduction",,,"pathogen_genotype",,
"vegetative_spores","aberrant (altered morphology)",,,"?",,,,,,
"vegetative_spores","aberrant (altered production of conidia)",,,"?",,,,,,
"vegetative_spores","aberrant (more slender)",,,"?",,,,,,
"vegetative_spores","aberrant; reduced",,,"?",,,,,,
"vegetative_spores","absent",,,"?",,,,,,
"vegetative_spores","absent (no conidia)",,,"?",,,,,,
"vegetative_spores","absent (no sporulation in planta)",,,"?",,,,,,
"vegetative_spores","absent (no sporulation)",,,"?",,,,,,
"vegetative_spores","absent (no)",,,"?",,,,,,
"vegetative_spores","absent (none)",,,"?",,,,,,
"vegetative_spores","increased (five times more conidia than wt produced in constant darkness)",,,"?",,,,,,
"vegetative_spores","increased; aberrant",,,"?",,,,,,
"vegetative_spores","present ()",,,"?",,,,,,
"vegetative_spores","reduced (on defined medium)",,,"?",,,,,,
"vegetative_spores","reduced; abberant",,,"?",,,,,,
"vegetative_spores","reduced; aberrant",,,"?",,,,,,
"vegetative_spores","reduced; aberrant (altered morphology)",,,"?",,,,,,
"vegetative_spores","reduced; defective",,,"?",,,,,,
"vegetative_spores","reduced; defective; aberrant",,,"?",,,,,,
"vegetative_spores","wild type; aberrant",,,"?",,,,,,
